OTU	Phylum	Subphylum	Order	Class	Family	Genus	Species	taxon	trophicMode	guild	confidenceRanking	citationSource
Cluster_17	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_171	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_173	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_175	Basidiomycota	undefined	Tremellomycetes	Cystofilobasidiales	undefined	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_176	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_178	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_180	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_182	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_183	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_185	Ascomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Ascomycota	na	na	na	na	na
Cluster_186	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_189	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_195	Basidiomycota	undefined	Agaricomycetes	Auriculariales	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_20	Basidiomycota	undefined	Agaricomycetes	Auriculariales	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_201	Basidiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_204	Ascomycota	Pezizomycotina	Sordariomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_205	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_206	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_211	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_212	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_22	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_229	Ascomycota	Pezizomycotina	Dothideomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_23	Ascomycota	Pezizomycotina	Dothideomycetes	Capnodiales	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_230	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_233	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_239	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_24	Basidiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_240	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_242	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_244	Ascomycota	Pezizomycotina	Dothideomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_25	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_259	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_260	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_261	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_266	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_269	Chytridiomycota	undefined	Chytridiomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_270	Ascomycota	Pezizomycotina	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_271	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_272	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined	Mucoromycotina__sp.__MIB__8447	Mucoromycotina__sp.__MIB__8447	na	na	na	na
Cluster_278	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_28	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_286	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_290	Basidiomycota	undefined	Agaricomycetes	Auriculariales	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_292	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_3	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_308	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_328	Chytridiomycota	undefined	Chytridiomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_329	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_331	Ascomycota	undefined	undefined	undefined	undefined	undefined	Ascomycota__sp.__DIVA1	na	na	na	na	na
Cluster_340	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined	Multi-affiliation	na	na	na	na	na
Cluster_346	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_363	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_364	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__rhizosphere__chytridiomycete	uncultured__rhizosphere__chytridiomycete	na	na	na	na
Cluster_37	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_386	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_41	Ascomycota	Pezizomycotina	Sordariomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_415	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_422	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_423	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_44	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_442	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_444	Ascomycota	Pezizomycotina	Dothideomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_46	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	undefined	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_488	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_49	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_504	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_51	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_53	Ascomycota	Pezizomycotina	Dothideomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_55	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_553	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_559	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_56	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_6	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_61	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_65	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_67	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_68	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined	Mucoromycotina__sp.__MIB__8388	Mucoromycotina__sp.__MIB__8388	na	na	na	na
Cluster_7	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_75	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_8	Ascomycota	Pezizomycotina	Sordariomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_80	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_82	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_83	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__rhizosphere__chytridiomycete	uncultured__rhizosphere__chytridiomycete	na	na	na	na
Cluster_84	Ascomycota	Pezizomycotina	Dothideomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_86	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_87	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined	Mucoromycotina__sp.__MIB__8387	Mucoromycotina__sp.__MIB__8387	na	na	na	na
Cluster_97	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_99	Ascomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Ascomycota	na	na	na	na	na
